ID_1,left,top,right,bottom,x,y,학교학원,poi,주택거주인구
437,964720.8765,1869540.617,964820.8765,1869440.617,127.1049755,36.82295828,0,0,442
438,964720.8765,1869640.617,964820.8765,1869540.617,127.1049709,36.82385973,0,0,307
443,964720.8765,1869440.617,964820.8765,1869340.617,127.1049802,36.82205683,1,0,278
445,965120.8765,1867640.617,965220.8765,1867540.617,127.1095476,36.80584554,14,9,21
446,965120.8765,1867740.617,965220.8765,1867640.617,127.1095431,36.80674699,12,11,37
447,965120.8765,1867840.617,965220.8765,1867740.617,127.1095385,36.80764845,4,3,206
448,965120.8765,1867140.617,965220.8765,1867040.617,127.1095705,36.80133828,0,5,301
450,965120.8765,1867340.617,965220.8765,1867240.617,127.1095614,36.80314119,7,27,139
451,965120.8765,1867440.617,965220.8765,1867340.617,127.1095568,36.80404264,7,16,64
454,965120.8765,1866940.617,965220.8765,1866840.617,127.1095797,36.79953538,1,5,483
457,965120.8765,1869240.617,965220.8765,1869140.617,127.1094744,36.82026875,14,39,262
458,965120.8765,1869340.617,965220.8765,1869240.617,127.1094698,36.8211702,10,24,217
459,965120.8765,1869440.617,965220.8765,1869340.617,127.1094652,36.82207165,1,13,178
462,965120.8765,1868940.617,965220.8765,1868840.617,127.1094881,36.8175644,14,39,134
464,965120.8765,1868340.617,965220.8765,1868240.617,127.1095156,36.8121557,7,21,19
467,965120.8765,1868640.617,965220.8765,1868540.617,127.1095019,36.81486005,3,22,88
468,965120.8765,1867940.617,965220.8765,1867840.617,127.1095339,36.8085499,2,1,436
469,965120.8765,1868040.617,965220.8765,1867940.617,127.1095293,36.80945135,23,32,371
470,965120.8765,1868140.617,965220.8765,1868040.617,127.1095248,36.8103528,40,64,271
471,965120.8765,1868240.617,965220.8765,1868140.617,127.1095202,36.81125425,17,43,132
472,965220.8765,1868040.617,965320.8765,1867940.617,127.1106504,36.80945502,24,31,368
473,965220.8765,1868140.617,965320.8765,1868040.617,127.1106459,36.81035647,24,58,27
474,965220.8765,1868240.617,965320.8765,1868140.617,127.1106413,36.81125792,3,46,37
476,965220.8765,1867640.617,965320.8765,1867540.617,127.1106687,36.80584922,10,6,218
477,965220.8765,1867740.617,965320.8765,1867640.617,127.1106641,36.80675067,4,10,284
478,965220.8765,1867840.617,965320.8765,1867740.617,127.1106595,36.80765212,3,2,434
479,965220.8765,1867940.617,965320.8765,1867840.617,127.110655,36.80855357,4,2,377
481,965220.8765,1867340.617,965320.8765,1867240.617,127.1106824,36.80314486,7,31,226
482,965220.8765,1867440.617,965320.8765,1867340.617,127.1106778,36.80404631,9,14,133
488,965220.8765,1869240.617,965320.8765,1869140.617,127.1105956,36.82027243,10,24,383
490,965220.8765,1869440.617,965320.8765,1869340.617,127.1105865,36.82207532,1,9,84
491,965220.8765,1869540.617,965320.8765,1869440.617,127.1105819,36.82297677,0,3,367
494,965220.8765,1869040.617,965320.8765,1868940.617,127.1106048,36.81846953,2,17,98
502,965020.8765,1869440.617,965120.8765,1869340.617,127.108344,36.82206796,4,12,335
504,965020.8765,1869040.617,965120.8765,1868940.617,127.1083623,36.81846216,6,36,263
505,965020.8765,1869140.617,965120.8765,1869040.617,127.1083577,36.81936361,4,27,545
506,965020.8765,1869240.617,965120.8765,1869140.617,127.1083531,36.82026506,8,12,627
507,965020.8765,1869340.617,965120.8765,1869240.617,127.1083486,36.82116651,4,13,506
512,964920.8765,1867740.617,965020.8765,1867640.617,127.107301,36.80673961,15,14,42
516,964920.8765,1867340.617,965020.8765,1867240.617,127.1073194,36.80313381,1,37,141
517,964920.8765,1867440.617,965020.8765,1867340.617,127.1073148,36.80403526,9,39,206
518,964920.8765,1867540.617,965020.8765,1867440.617,127.1073102,36.80493671,4,22,136
519,964920.8765,1867640.617,965020.8765,1867540.617,127.1073056,36.80583816,1,14,121
520,964920.8765,1866940.617,965020.8765,1866840.617,127.1073378,36.799528,0,25,71
521,964920.8765,1867040.617,965020.8765,1866940.617,127.1073332,36.80042945,0,34,117
522,964920.8765,1867140.617,965020.8765,1867040.617,127.1073286,36.8013309,0,22,178
523,964920.8765,1867240.617,965020.8765,1867140.617,127.107324,36.80223235,1,26,48
524,965020.8765,1867040.617,965120.8765,1866940.617,127.1084542,36.80043315,0,16,25
525,965020.8765,1867140.617,965120.8765,1867040.617,127.1084496,36.8013346,0,19,34
526,965020.8765,1867240.617,965120.8765,1867140.617,127.108445,36.80223605,0,16,17
527,965020.8765,1867340.617,965120.8765,1867240.617,127.1084404,36.8031375,0,27,114
